n,bubble sort,insertion sort,quick sort,tim sort
10,1.53399999999998e-05,7.690000001048247e-06,1.502000000073167e-05,3.350000000068576e-06
50,0.0003491800000000017,0.00015158000000141668,8.858999999930006e-05,2.2200000010741406e-06
100,0.0013989200000000008,0.0005809599999984982,0.00018853000000049747,2.5900000004241973e-06
500,0.03497291000000001,0.015058559999999232,0.0013228799999993157,1.2279999999975644e-05
1000,0.14557561000000002,0.060539629999998824,0.002792010000000289,2.6290000001694124e-05
5000,3.8298692399999994,1.7718093600000002,0.017831480000000254,0.00015770000000046026
