"n","bubble sort","insertion sort","quick sort","tim sort"
10,8.631999662611634e-07,3.240998921683058e-07,5.563000740949065e-07,4.139983502682298e-08
50,1.4345500312629156e-05,6.5579999500187116e-06,3.4318996767979116e-06,2.1030027710366995e-07
100,6.632080003328155e-05,2.2866799918119794e-05,8.49210009619128e-06,1.3056000170763581e-06
500,0.0018628993002494099,0.0006268630997510627,5.340610005077906e-05,2.9250997613416986e-06
1000,0.008184309300122549,0.0024950172999524513,0.00011898250013473444,6.577699969056993e-06
5000,0.2148926534999191,0.06857537739997496,0.0007881557998189237,4.1853999937302434e-05
