Searches,Linear Search Time,Binary Search Time
0,0.0013179000234231353,0.004386700049508363
1,0.002910299983341247,0.0043946000514552
2,0.004081699997186661,0.004403800063300878
3,0.005083800002466887,0.004410400113556534
4,0.0061672000447288156,0.004418300115503371
5,0.007232700067106634,0.004424900107551366
6,0.008388300077058375,0.004431100096553564
7,0.009438300039619207,0.004438800096977502
8,0.010532700049225241,0.004445600090548396
9,0.011584200023207814,0.004453200090210885
